"bairro_key","NM_BAIRRO_DADOS","Casos"
"jonas de almeida e silva","Jonas De Almeida e Silva",1
"joquei clib","Joquei Clib",1
"jose do petrocinio","Jose Do Petrocinio",1
"juarez","Juarez",1
"km 09","Km 09",1
"km 10","Km 10",1
"km 13 travessao","Km 13 Travessao",1
"km 16","Km 16",1
"km08","Km08",1
"km13","Km13",1
"km18","Km18",1
"lagamar farol","Lagamar - Farol",1
"lago da garcia","Lago Da Garcia",1
"lago feia","Lago Feia",1
"lagoa de cima i","Lagoa De Cima i",1
"lagoa doce","Lagoa Doce",1
"lagoa dos paus","Lagoa Dos Paus",1
"lagoinha","Lagoinha",1
"lapa ii","Lapa Ii",1
"largo de garcia","Largo De Garcia",1
"leons","Leons",1
"linha do limero","Linha Do Limero",1
"lucilda da silva domingos","Lucilda Da Silva Domingos",1
"lugonha","Lugonha",1
"luiz diego barbosa cerqueira","Luiz Diego Barbosa Cerqueira",1
"luza mota","Luza Mota",1
"macuci","Macuci",1
"malhaes","Malhaes",1
"manguinhos","Manguinhos",1
"maria ortiz","Maria Ortiz",1
"maria queiroz","Maria Queiroz",1
"marimbondo","Marimbondo",1
"marreca","Marreca",1
"marro grande","Marro Grande",1
"matinha","Matinha",1
"matuti","Matuti",1
"miguel couto","Miguel Couto",1
"mirandela","Mirandela",1
"mirante da lagoa","Mirante Da Lagoa",1
"monte verde","Monte Verde",1
"monteiro de sao bento","Monteiro De Sao Bento",1
"morada do sol","Morada Do Sol",1
"mussurepe bairro babosa","Mussurepe - Bairro Babosa",1
"nautico","Nautico",1
"nazario","Nazario",1
"nogueira","Nogueira",1
"nossa senhora aparecida","Nossa Senhora Aparecida",1
"nova america","Nova America",1
"nova basilia","Nova Basilia",1
"nova belem","Nova Belem",1
"nova brasiia","Nova Brasiia",1
"nova brasilia bairro","Nova Brasilia - Bairro",1
"nova canan","Nova Canan",1
"nova canna","Nova Canna",1
"nova cidade luz","Nova Cidade Luz",1
"nova divineio","Nova Divineio",1
"nova esperenca","Nova Esperenca",1
"nova goitazes","Nova Goitazes",1
"nova goiytacazes","Nova Goiytacazes",1
"nova grussai","Nova Grussai",1
"nova santa clara","Nova Santa Clara",1
"novo aeroporto","Novo Aeroporto",1
"novo canaa","Novo Canaa",1
"novo isaque bairro","Novo Isaque-Bairro",1
"novo j","Novo j",1
"novo joquei","Novo Joquei",1
"novo oriente","Novo Oriente",1
"novo rio das ostras","Novo Rio Das Ostras",1
"olhos d agua","Olhos d Agua",1
"oliveira botelho","Oliveira Botelho",1
"oq nova brasilia","Oq Nova Brasilia",1
"ouro verde","Ouro Verde",1
"p grossa","p Grossa",1
"p grossa dos fidalgos","P. Grossa Dos Fidalgos",1
"p saraiva","P. Saraiva",1
"p vargas","p Vargas",1
"palmaria","Palmaria",1
"paraiba do sul","Paraiba Do Sul",1
"paraiso","Paraiso",1
"paranoa","Paranoa",1
"parque aldeia 1","Pq Aldeia 1",1
"parque aldeia 1 bairro","Pq Aldeia 1 - Bairro",1
"parque aldeia 2","Pq Aldeia 2",1
"parque alplaville","Pq Alplaville",1
"parque boungaville","Pq Boungaville",1
"parque canao","Parque Canao",1
"parque ceu azul","Pq Ceu Azul",1
"parque faria","Pq Faria",1
"parque gandu","Pq Gandu",1
"parque jockey club 2","Pq Jockey Club 2",1
"parque joquei club","Parque Joquei Club",1
"parque juliao moreira","Parque Juliao Moreira",1
"parque nova canaa","Pq Nova Canaa",1
"parque nova eldorado","Pq Nova Eldorado",1
"parque palmeira","Parque Palmeira",1
"parque residencial","Pq Residencial",1
"parque rio preto","Pq Rio Preto",1
"parque rodovi rio","Parque Rodovißrio",1
"parque sao francisco","Pq Sao Francisco",1
"parque sao gregorio","Pq - Sao Gregorio",1
"parque sao joao","Parque Sao Joao",1
"parque sto amaro","Pq Sto Amaro",1
"parque tar","Pq Tar",1
"parque torenio miranda","Parque Torenio Miranda",1
"parque venda nova","Pq Venda Nova",1
"parque vicen","Parque Vicen",1
"parque vicente miranda","Pq Vicente Miranda",1
"parque visconde uruari","Parque Visconde Uruari",1
"parque visconde ururai","Pq Visconde Ururai",1
"parque visconde ururay","Pq Visconde Ururaý",1
"paus amarelos","Paus Amarelos",1
"pechincha","Pechincha",1
"pedregal","Pedregal",1
"pedregral","Pedregral",1
"pipeiras","Pipeiras",1
"pirai","Pirai",1
"pitangueiras","Pitangueiras",1
"planalto","Planalto",1
"ponta coqueiro","Ponta Coqueiro",1
"ponta da grossa","Ponta Da Grossa",1
"ponta do coqueirio","Ponta Do Coqueirio",1
"ponta gossa","Ponta Gossa",1
"ponta grossa dos fidalgos","Ponta Grossa Dos Fidalgos",1
"ponto da cacimbas","Ponto Da Cacimbas",1
"porto do carmo","Porto Do Carmo",1
"posto planicie","Posto Planicie",1
"praca tiradente","Praca Tiradente",1
"praia campista","Praia Campista",1
"praia da costa","Praia Da Costa",1
"praia do aau","Praia Do Aãu",1
"praia do morro","Praia Do Morro",1
"praia do pecado","Praia Do Pecado",1
"quixava","Quixava",1
"radio velho farol","Radio Velho Farol",1
"recanto","Recanto",1
"renata linhares gomes","Renata Linhares Gomes",1
"res maria turri","Res Maria Turri",1
"res rivieira","Res. Rivieira",1
"resid praia ancora","Resid Praia Ancora",1
"residencial santo antonio","Residencial Santo Antonio",1
"residencial vareza","Residencial Vareza",1
"ribeiro amaro bairro","Ribeiro Amaro - Bairro",1
"ribeiro do amaro","Ribeiro Do Amaro",1
"richuelo","Richuelo",1
"rio do viveiro","Rio Do Viveiro",1
"riveira","Riveira",1
"rivieira","Rivieira",1
"riviera","Riviera",1
"riviera fluminense","Riviera Fluminense",1
"ro","Ro",1
"roda agua","Roda Agua",1
"rua 15","Rua 15",1
"rua alcides vieira maciel","Rua Alcides Vieira Maciel",1
"rua do alto do elizeu","Rua Do Alto Do Elizeu",1
"rua luiz carlos de barros viana","Rua Luiz Carlos De Barros Viana",1
"rua principal","Rua Principal",1
"rui barbosa","Rui Barbosa",1
"s braga","s Braga",1
"s o caetano","S├o Caetano",1
"s o domingos","S├o Domingos",1
"s o jorge","S├o Jorge",1
"s o jose","S├o Jose",1
"s o martinho","S├o Martinho",1
"s o mateus","S├o Mateus",1
"s o sebastiao","S├o Sebastiao",1
"s o silvestre","S├o Silvestre",1
"s o vicente","S├o Vicente",1
"sai caetano","Saı Caetano",1
"sambra","Sambra",1
"santa barbara","Santa Barbara",1
"santa edwirges","Santa Edwirges",1
"santa margarida","Santa Margarida",1
"santa rita de cassaia","Santa Rita De Cassaia",1
"santa tereza","Santa Tereza",1
"santafe","Santafe",1
"santo amaro de campos","Santo Amaro De Campos",1
"santo maria de campos","Santo Maria De Campos",1
"sao daniel","Sao Daniel",1
"sao francisco","Sao Francisco",1
"sao joao barra","Sao Joao Barra",1
"sao joao da barra bairro","Sao Joao Da Barra - Bairro",1
"sao joaoquim","Sao Joaoquim",1
"sao luiz de mutuca","Sao Luiz De Mutuca",1
"sao martins","Sao Martins",1
"sao salvador","Sao Salvador",1
"sao sebastiao lan","Sao Sebastiao Lan",1
"sao vicente de paula","São Vicente De Paula",1
"serramar","Serramar",1
"setimo destrito","Setimo Destrito",1
"shopping estrada","Shopping Estrada",1
"sitio das garcas","Sitio Das Garcas",1
"sitio quissama","Sitio Quissama",1
"sivio ferras","Sivio Ferras",1
"sn","Sn",1
"solar jardim","Solar Jardim",1
"soledade 2","Soledade 2",1
"soledade ii","Soledade Ii",1
"soo benedito","Sòo Benedito",1
"soo domingos","Sòo Domingos",1
"soo jorge","Sòo Jorge",1
"soo josu","Sòo Josú",1
"soo mateus","Sòo Mateus",1
"soo matheus","Sòo Matheus",1
"soo sebastiao","Sòo Sebastiao",1
"sta helena","Sta Helena",1
"sta rosa","Sta Rosa",1
"tabuinha","Tabuinha",1
"tapera 02","Tapera 02",1
"tapera 03","Tapera 03",1
"tapera 3 bairro","Tapera 3- Bairro",1
"tapera casinhas 1","Tapera - Casinhas -1",1
"taquarassu","Taquarassu",1
"tarcisio miranda","Tarcisio Miranda",1
"tele santana","Tele Santana",1
"telesantana","Telesantana",1
"terra prometido","Terra Prometido",1
"terra promotida","Terra Promotida",1
"terra promterida","Terra Promterida",1
"thome","Thome",1
"tijuca","Tijuca",1
"tinola","Tinola",1
"torre telefonico","Torre Telefonico",1
"tr s vendas","Tr╩s Vendas",1
"tra","Tra",1
"trajano de moares","Trajano De Moares",1
"trav","Trav",1
"travess o","Travess├o",1
"travessa arraial","Travessa Arraial",1
"travessa sao joaquim","Travessa Sao Joaquim",1
"travessao bairro arraial","Travessao - Bairro Arraial",1
"travessao da barra","Travessao Da Barra",1
"travessoo bariri","Travessòo Bariri",1
"tropical","Tropical",1
"tropival","Tropival",1
"uenf","Uenf",1
"usina santa cruz bairro","Usina Santa Cruz - Bairro",1
"usina santo amaro","Usina Santo Amaro",1
"usina sao jose","Usina Sao Jose",1
"v romana","v Romana",1
"varanda do visconde","Varanda Do Visconde",1
"varnada do visconde","Varnada Do Visconde",1
"vassoura","Vassoura",1
"veneza residencial","Veneza Residencial",1
"venezas","Venezas",1
"vicente conaalves","Vicente Conãalves",1
"vila amendoeira","Vila Amendoeira",1
"vila augusto moreti","Vila Augusto Moreti",1
"vila bogari","Vila Bogari",1
"vila coroados","Vila Coroados",1
"vila cruzeiro","Vila Cruzeiro",1
"vila das amendoeiras","Vila Das Amendoeiras",1
"vila dioneia","Vila Dioneia",1
"vila manhhaes","Vila Manhhaes",1
"vila palha guandu","Vila Palha Guandu",1
"vila rica","Vila Rica",1
"vila romano","Vila Romano",1
"vila tamarindo","Vila Tamarindo",1
"vila velha","Vila Velha",1
"vila verde","Vila Verde",1
"vilage","Vilage",1
"virgem santa","Virgem Santa",1
"visconde 2","Visconde 2",1
"visconde de ururay","Visconde De Ururaý",1
"vista alegre","Vista Alegre",1
"vista do paraiba","Vista Do Paraiba",1
